index,title,authors,type
1,2kenize: Tying Subword Sequences for Chinese Script Conversion,Pranav A and Isabelle Augenstein,long
2,A Batch Normalized Inference Network Keeps the KL Vanishing Away,"Qile Zhu, Wei Bi, Xiaojiang Liu, Xiyao Ma, Xiaolin Li and Dapeng Wu",long
3,A Call for More Rigor in Unsupervised Cross-lingual Learning,"Mikel Artetxe, Sebastian Ruder, Dani Yogatama, Gorka Labaka and Eneko Agirre",long
4,A Comprehensive Analysis of Preprocessing for Word Representation Learning in Affective Tasks,"Nastaran Babanejad, Ameeta Agrawal, Aijun An and Manos Papagelis",long
5,A Contextual Hierarchical Attention Network with Adaptive Objective for Dialogue State Tracking,"Yong Shan, Zekang Li, Jinchao Zhang, Fandong Meng, Yang Feng, Cheng Niu and Jie Zhou",long
6,A Corpus for Large-Scale Phonetic Typology,"Elizabeth Salesky, Eleanor Chodroff, Tiago Pimentel, Matthew Wiesner, Ryan Cotterell, Alan W Black and Jason Eisner",long
7,A Formal Hierarchy of RNN Architectures,"William Merrill, Gail Weiss, Yoav Goldberg, Roy Schwartz, Noah A. Smith and Eran Yahav",long
8,A Generate-and-Rank Framework with Semantic Type Regularization for Biomedical Concept Normalization,"Dongfang Xu, Zeyu Zhang and Steven Bethard",long
9,A Generative Model for Joint Natural Language Understanding and Generation,"Bo-Hsiang Tseng, Jianpeng Cheng, Yimai Fang and David Vandyke",long
10,A Girl Has A Name: Detecting Authorship Obfuscation,"Asad Mahmood, Zubair Shafiq and Padmini Srinivasan",long
11,A Graph Auto-encoder Model of Derivational Morphology,"Valentin Hofmann, Hinrich Schütze and Janet Pierrehumbert",long
12,A Graph-based Coarse-to-fine Method for Unsupervised Bilingual Lexicon Induction,"Shuo Ren, Shujie Liu, Ming Zhou and Shuai Ma",long
13,A Joint Model for Document Segmentation and Segment Labeling,"Joe Barrow, Rajiv Jain, Vlad Morariu, Varun Manjunatha, Douglas Oard and Philip Resnik",long
14,A Joint Neural Model for Information Extraction with Global Features,"Ying Lin, Heng Ji, Fei Huang and Lingfei Wu",long
15,A Methodology for Creating Question Answering Corpora Using Inverse Data Annotation,"Jan Deriu, Katsiaryna Mlynchyk, Philippe Schläpfer, Alvaro Rodrigo, Dirk von Grünigen, Nicolas Kaiser, Kurt Stockinger, Eneko Agirre and Mark Cieliebak",long
16,A Mixture of h − 1 Heads is Better than h Heads,"Hao Peng, Roy Schwartz, Dianqi Li and Noah A. Smith",long
17,A Monolingual Approach to Contextualized Word Embeddings for Mid-Resource Languages,"Pedro Javier Ortiz Suárez, Laurent Romary and Benoît Sagot",long
18,A Multitask Learning Approach for Diacritic Restoration,"Sawsan Alqahtani, Ajay Mishra and Mona Diab",long
19,A Novel Cascade Binary Tagging Framework for Relational Triple Extraction,"Zhepei Wei, Jianlin Su, Yue Wang, Yuan Tian and Yi Chang",long
20,A Novel Graph-based Multi-modal Fusion Encoder for Neural Machine Translation,"Yongjing Yin, Fandong Meng, Jinsong Su, Chulun Zhou, Zhengyuan Yang, Jie Zhou and Jiebo Luo",long
21,A Prioritization Model for Suicidality Risk Assessment,"Han-Chin Shing, Philip Resnik and Douglas Oard",long
22,A Recipe for Creating Multimodal Aligned Datasets for Sequential Tasks,"Angela Lin, Sudha Rao, Asli Celikyilmaz, Elnaz Nouri, Chris Brockett, Debadeepta Dey and Bill Dolan",long
23,A Reinforced Generation of Adversarial Examples for Neural Machine Translation,"Wei Zou, Shujian Huang, Jun Xie, Xinyu Dai and Jiajun Chen",long
24,A Self-Training Method for Machine Reading Comprehension with Soft Evidence Extraction,"Yilin Niu, Fangkai Jiao, Mantong Zhou, Ting Yao, Jingfang Xu and Minlie Huang",long
25,A Span-based Linearization for Constituent Trees,"Yang Wei, Yuanbin Wu and Man Lan",long
26,A Study of Non-autoregressive Model for Sequence Generation,"Yi Ren, Jinglin Liu, Xu Tan, Zhou Zhao, Sheng Zhao and Tie-Yan Liu",long
27,A Systematic Assessment of Syntactic Generalization in Neural Language Models,"Jennifer Hu, Jon Gauthier, Peng Qian, Ethan Wilcox and Roger Levy",long
28,A Tale of Two Perplexities: Sensitivity of Neural Language Models to Lexical Retrieval Deficits in Dementia of the Alzheimer’s Type,Trevor Cohen and Serguei Pakhomov,long
29,A Top-down Neural Architecture towards Text-level Parsing of Discourse Rhetorical Structure,"Longyin Zhang, Yuqing Xing, Fang Kong, Peifeng Li and Guodong Zhou",long
30,A Unified MRC Framework for Named Entity Recognition,"Xiaoya Li, Jingrong Feng, Yuxian Meng, Qinghong Han, Fei Wu and Jiwei Li",long
31,Adaptive Compression of Word Embeddings,"Yeachan Kim, Kang-Min Kim and SangKeun Lee",long
32,Addressing Posterior Collapse with Mutual Information for Improved Variational Neural Machine Translation,"Arya D. McCarthy, Xian Li, Jiatao Gu and Ning Dong",long
33,AdvAug: Robust Adversarial Augmentation for Neural Machine Translation,"Yong Cheng, Lu Jiang, Wolfgang Macherey and Jacob Eisenstein",long
34,Adversarial and Domain-Aware BERT for Cross-Domain Sentiment Analysis,"Chunning Du, Haifeng Sun, Jingyu Wang, Qi Qi and Jianxin Liao",long
35,Adversarial NLI: A New Benchmark for Natural Language Understanding,"Yixin Nie, Adina Williams, Emily Dinan, Mohit Bansal, Jason Weston and Douwe Kiela",long
36,Agreement Prediction of Arguments in Cyber Argumentation for Detecting Stance Polarity and Intensity,"Joseph Sirrianni, Xiaoqing Liu and Douglas Adams",long
37,Aligned Dual Channel Graph Convolutional Network for Visual Question Answering,"Qingbao Huang, Jielong Wei, Yi Cai, Changmeng Zheng, Junying Chen, Ho-fung Leung and Qing Li",long
38,"Amalgamation of protein sequence, structure and textual information for improving protein-protein interaction identification",Pratik Dutta and Sriparna Saha,long
39,AMR Parsing via Graph-Sequence Iterative Inference,Deng Cai and Wai Lam,long
40,AMR Parsing with Latent Structural Information,"Qiji Zhou, Yue Zhang, Donghong Ji and Hao Tang",long
41,An analysis of the utility of explicit negative examples to improve the syntactic abilities of neural language models,Hiroshi Noji and Hiroya Takamura,long
42,An Effective Transition-based Model for Discontinuous NER,"Xiang Dai, Sarvnaz Karimi, Ben Hachey and Cecile Paris",long
43,An Effectiveness Metric for Ordinal Classification: Formal Properties and Experimental Results,"Enrique Amigo, Julio Gonzalo, Stefano Mizzaro and Jorge Carrillo-de-Albornoz",long
44,An Online Semantic-enhanced Dirichlet Model for Short Text Stream Clustering,"Jay Kumar, Junming Shao, Salah Uddin and Wazir Ali",long
45,Analysing Lexical Semantic Change with Contextualised Word Representations,"Mario Giulianelli, Marco Del Tredici and Raquel Fernández",long
46,Analyzing analytical methods: The case of phonology in neural models of spoken language,"Grzegorz Chrupała, Bertrand Higy and Afra Alishahi",long
47,Analyzing Political Parody in Social Media,"Antonios Maronikolakis, Danae Sánchez Villegas, Daniel Preotiuc-Pietro and Nikolaos Aletras",long
48,Are Natural Language Inference Models IMPPRESsive? Learning IMPlicature and PRESupposition,"Paloma Jeretic, Alex Warstadt, Suvrat Bhooshan and Adina Williams",long
49,Asking and Answering Questions to Evaluate the Factual Consistency of Summaries,"Alex Wang, Kyunghyun Cho and Mike Lewis",long
50,Aspect Sentiment Classification with Document-level Sentiment Preference Modeling,"Xiao Chen, Changlong Sun, Jingjing Wang, Shoushan Li, Luo Si, Min Zhang and Guodong Zhou",long
